	gc	code	CV	creation_dt	irrig_type	is_Perenial	irrigated
1	312803	0	0	0	0	0	0
2	312804	0	0	0	0	0	0
3	312805	0	0	0	0	0	0
4	312806	0	0	0	0	0	0
5	312807	0	0	0	0	0	0
6	312808	1	0	0	0	0	0
7	0	1208	0.02183	60	0	0	0
8	312809	1	0	0	0	0	0
9	0	1208	0.0417	60	0	0	0
10	312810	1	0	0	0	0	0
11	0	1208	0.0264	60	0	0	0
12	312811	1	0	0	0	0	0
13	0	1208	0.04656	60	0	0	0
14	312812	1	0	0	0	0	0
15	0	1208	0.06532	60	0	0	0
16	312813	3	0	0	0	0	0
17	0	218	0.016	265	0	0	0
18	0	1208	0.07699	60	0	0	0
19	0	210	0.021	60	0	0	0
20	313731	0	0	0	0	0	0
21	313732	0	0	0	0	0	0
22	313733	0	0	0	0	0	0
23	313734	0	0	0	0	0	0
24	313735	0	0	0	0	0	0
25	313736	0	0	0	0	0	0
26	313737	0	0	0	0	0	0
27	313738	0	0	0	0	0	0
28	313739	0	0	0	0	0	0
29	313740	0	0	0	0	0	0
30	313741	0	0	0	0	0	0
31	313742	0	0	0	0	0	0
32	313743	1	0	0	0	0	0
33	0	204	0.01577	60	73	0	1
34	313744	6	0	0	0	0	0
35	0	218	0.053	265	0	0	0
36	0	701	0.0183	60	23	0	1
37	0	204	0.05237	60	23	0	1
38	0	1208	0.01215	60	0	0	0
39	0	1803	0.01485	60	23	0	1
40	0	1206	0.02607	60	0	0	0
41	313745	2	0	0	0	0	0
42	0	218	0.244	265	0	0	3
43	0	1208	0.1288	60	0	0	3
44	313746	2	0	0	0	0	0
45	0	218	0.134	265	0	0	3
46	0	1208	0.38301	60	0	0	3
47	314656	0	0	0	0	0	0
48	314657	1	0	0	0	0	0
49	0	1208	0.01056	60	0	0	0
50	314658	0	0	0	0	0	0
51	314659	0	0	0	0	0	0
52	314660	0	0	0	0	0	0
53	314661	0	0	0	0	0	0
54	314662	0	0	0	0	0	0
55	314663	0	0	0	0	0	0
56	314664	0	0	0	0	0	0
57	314665	0	0	0	0	0	0
58	314666	0	0	0	0	0	0
59	314667	0	0	0	0	0	0
60	314668	0	0	0	0	0	0
61	314669	0	0	0	0	0	0
62	314670	6	0	0	0	0	0
63	0	204	0.12177	60	73	0	1
64	0	1401	0.01302	1	43	1	1
65	0	1206	0.03976	60	23	0	1
66	0	1101	0.02571	60	73	0	1
67	0	901	0.04403	60	73	0	1
68	0	2001	0.04768	60	73	0	1
69	314671	10	0	0	0	0	0
70	0	218	0.094	265	73	0	3
71	0	701	0.17788	60	23	0	3
72	0	204	0.26916	60	23	0	3
73	0	1803	0.01381	60	23	0	3
74	0	1206	0.05875	60	23	0	3
75	0	210	0.016	60	73	0	3
76	0	1101	0.041	60	73	0	3
77	0	2001	0.03703	60	73	0	3
78	0	720	0.01372	60	23	0	3
79	0	723	0.01179	60	23	0	3
80	314672	11	0	0	0	0	0
81	0	218	0.028	265	23	0	3
82	0	701	0.15377	60	23	0	3
83	0	204	0.08477	60	23	0	3
84	0	1803	0.01744	60	23	0	3
85	0	1206	0.0581	60	23	0	3
86	0	703	0.01571	60	37	0	3
87	0	1101	0.0266	60	23	0	3
88	0	901	0.07791	60	73	0	3
89	0	2001	0.01898	60	73	0	3
90	0	1802	0.0377	60	73	0	3
91	0	720	0.01013	60	23	0	3
92	314673	12	0	0	0	0	0
93	0	218	0.017	265	23	0	3
94	0	701	0.0338	60	43	0	3
95	0	204	0.08354	60	23	0	3
96	0	1401	0.02568	1	43	1	3
97	0	1206	0.06493	60	23	0	3
98	0	1403	0.02457	1	43	1	3
99	0	210	0.027	60	23	0	3
100	0	1101	0.01731	60	73	0	3
101	0	901	0.18697	60	73	0	3
102	0	2001	0.14554	60	73	0	3
103	0	1802	0.01633	60	73	0	3
104	0	209	0.02269	60	23	0	3
105	314674	7	0	0	0	0	0
106	0	701	0.03551	60	43	0	3
107	0	204	0.02497	60	23	0	3
108	0	1401	0.03375	1	43	1	3
109	0	1206	0.07689	60	23	0	3
110	0	1403	0.09703	1	43	1	3
111	0	901	0.03953	60	61	0	3
112	0	2001	0.10934	60	43	0	3
113	315583	0	0	0	0	0	0
114	315584	0	0	0	0	0	0
115	315585	1	0	0	0	0	0
116	0	1208	0.02648	60	0	0	0
117	315586	1	0	0	0	0	0
118	0	1208	0.04417	60	0	0	0
119	315587	1	0	0	0	0	0
120	0	1208	0.04371	60	0	0	0
121	315588	1	0	0	0	0	0
122	0	1208	0.01226	60	0	0	0
123	315589	0	0	0	0	0	0
124	315590	2	0	0	0	0	0
125	0	1401	0.06648	1	61	1	1
126	0	1206	0.0468	60	23	0	1
127	315591	2	0	0	0	0	0
128	0	1401	0.01317	1	43	1	1
129	0	1206	0.02546	60	0	0	0
130	315592	0	0	0	0	0	0
131	315593	0	0	0	0	0	0
132	315594	3	0	0	0	0	0
133	0	1208	0.01208	60	0	0	0
134	0	1206	0.02725	60	0	0	0
135	0	2002	0.0192	1	61	1	1
136	315595	3	0	0	0	0	0
137	0	1208	0.01002	60	0	0	0
138	0	1206	0.03033	60	0	0	0
139	0	703	0.01043	60	37	0	1
140	315596	0	0	0	0	0	0
141	315597	5	0	0	0	0	0
142	0	701	0.05718	60	23	0	1
143	0	204	0.1419	60	73	0	1
144	0	1206	0.05796	60	23	0	1
145	0	1822	0.01992	60	61	0	1
146	0	1802	0.02258	60	73	0	1
147	315598	8	0	0	0	0	0
148	0	218	0.04	265	73	0	3
149	0	204	0.24301	60	73	0	3
150	0	1206	0.06311	60	23	0	3
151	0	703	0.01968	60	0	0	3
152	0	1822	0.01443	60	61	0	3
153	0	210	0.018	60	73	0	3
154	0	1101	0.02496	60	73	0	3
155	0	2001	0.02044	60	73	0	3
156	315599	9	0	0	0	0	0
157	0	701	0.02636	60	43	0	3
158	0	204	0.04642	60	73	0	3
159	0	1206	0.07269	60	23	0	3
160	0	1403	0.02474	1	43	1	3
161	0	210	0.026	60	43	0	3
162	0	2002	0.0263	1	61	1	3
163	0	206	0.0117	60	23	0	3
164	0	901	0.14933	60	61	0	3
165	0	2001	0.03343	60	73	0	3
166	315600	9	0	0	0	0	0
167	0	701	0.16987	60	23	0	3
168	0	204	0.05098	60	23	0	3
169	0	1208	0.01424	60	37	0	3
170	0	713	0.02205	60	43	0	3
171	0	1206	0.18481	60	23	0	3
172	0	1403	0.02394	1	43	1	3
173	0	2002	0.01167	1	61	1	3
174	0	901	0.04984	60	73	0	3
175	0	2001	0.07037	60	43	0	3
176	315601	8	0	0	0	0	0
177	0	701	0.09696	60	23	0	3
178	0	204	0.17176	60	23	0	3
179	0	1401	0.01361	1	43	1	3
180	0	1206	0.11111	60	23	0	3
181	0	1403	0.01454	1	43	1	3
182	0	901	0.08702	60	61	0	3
183	0	2001	0.12239	60	43	0	3
184	0	209	0.01226	60	43	0	3
185	315602	8	0	0	0	0	0
186	0	701	0.01659	60	43	0	2
187	0	204	0.06985	60	23	0	2
188	0	1401	0.09217	1	43	1	2
189	0	1206	0.11268	60	23	0	2
190	0	1403	0.05709	1	43	1	2
191	0	2002	0.04842	1	61	1	2
192	0	901	0.02159	60	61	0	2
193	0	2001	0.27953	60	43	0	2
194	316510	0	0	0	0	0	0
195	316511	0	0	0	0	0	0
196	316512	0	0	0	0	0	0
197	316513	0	0	0	0	0	0
198	316514	1	0	0	0	0	0
199	0	1208	0.02633	60	0	0	0
200	316515	0	0	0	0	0	0
201	316516	2	0	0	0	0	0
202	0	1206	0.12117	60	0	0	0
203	0	703	0.01276	60	37	0	1
204	316517	3	0	0	0	0	0
205	0	218	0.011	265	43	0	1
206	0	1206	0.08582	60	0	0	0
207	0	901	0.0129	60	61	0	1
208	316518	8	0	0	0	0	0
209	0	218	0.021	265	23	0	1
