run_cell	gridcel	lat	lon	avg_t	annual_p	july_temp
1	312803	46.09375	-120.84375	3.5863	787.975	16.0977
1	312804	46.09375	-120.78125	3.5863	787.975	17.1607
1	312805	46.09375	-120.71875	6.4907	495.7	18.0454
1	312806	46.09375	-120.65625	6.4907	495.7	18.7459
1	312807	46.09375	-120.59375	7.7054	388.942	19.2886
1	312808	46.09375	-120.53125	7.7054	388.942	19.3383
1	312809	46.09375	-120.46875	6.8559	396.254	18.9426
1	312810	46.09375	-120.40625	6.8559	396.254	19.2341
1	312811	46.09375	-120.34375	8.0582	351.024	19.6309
1	312812	46.09375	-120.28125	8.0582	351.024	19.7949
1	312813	46.09375	-120.21875	8.6085	330.096	19.8038
1	313731	46.15625	-120.84375	5.6231	605.238	17.476
1	313732	46.15625	-120.78125	5.6231	605.238	17.6995
1	313733	46.15625	-120.71875	7.4543	388.314	18.184
1	313734	46.15625	-120.65625	7.4543	388.314	18.7043
1	313735	46.15625	-120.59375	9.1405	277.229	19.2649
1	313736	46.15625	-120.53125	9.1405	277.229	19.8418
1	313737	46.15625	-120.46875	9.7094	271.143	19.955
1	313738	46.15625	-120.40625	9.7094	271.143	19.9316
1	313739	46.15625	-120.34375	10.0975	243.9	20.021
1	313740	46.15625	-120.28125	10.0975	243.9	20.4068
1	313741	46.15625	-120.21875	10.9688	208.483	20.954
1	313742	46.15625	-120.15625	10.9688	208.483	21.4882
1	313743	46.15625	-120.09375	11.0449	210.804	21.8681
1	313744	46.15625	-120.03125	11.0449	210.804	22.0699
1	313745	46.15625	-119.96875	10.6881	217.453	22.0937
1	313746	46.15625	-119.90625	10.6881	217.453	22.068
1	314656	46.21875	-121.03125	5.7436	927.421	17.3272
1	314657	46.21875	-120.96875	5.6828	777.812	17.6263
1	314658	46.21875	-120.90625	5.6828	777.812	17.7061
1	314659	46.21875	-120.84375	5.6231	605.238	17.8463
1	314660	46.21875	-120.78125	5.6231	605.238	17.8151
1	314661	46.21875	-120.71875	7.4543	388.314	18.5033
1	314662	46.21875	-120.65625	7.4543	388.314	19.3223
