year	scr1	scr2	scr3	scr4	scr5	scr6	scr7	scr8	scr9	scr10
2018	0.3603825	0.8574317	0.6625137	1	0.96655738	1	0.9618033	0.9360656	0.599235	0.90748634
2019	0.3603825	0.8574317	0.6625137	1	0.96655738	1	0.9618033	0.9360656	0.599235	0.90748634
2020	0.6695628	0.3219672	0.5500546	0.7155191	0.99016393	0.9309836	0.8428415	0.872459	0.6726776	0.65945355
2021	0.8226776	0.8586885	0.6624044	0.8908743	0.94306011	0.840929	0.8181421	0.8630601	0.8149727	0.3695082
2022	0.7497268	0.8191257	0.9897814	0.8898907	0.84879781	0.3296175	0.8268852	0.9559016	0.834918	0.72153005
2023	0.1351913	0.6498907	0.6984699	0.6453552	0.61863388	0.5562842	0.5727322	0.7350273	0.6690164	0.78076503
2024	0.6339344	0.5137158	0.6950273	0.8136612	0.74153005	0.6698907	0.8569945	0.6328962	0.6460656	0.53153005
2025	0.8230601	0.2568852	0.7525683	0.9187432	0.77459016	0.309071	0.7823497	0.6304918	0.7721311	0.79530055
2026	0.1536066	0.8887432	1	0.9272131	0.66983607	0.8548634	0.9452459	0.935082	0.7613115	0.83934426
2027	0.4987978	0.8742623	0.9357923	0.8431148	0.46502732	0.7222951	0.9029508	0.8463388	0.8068306	0.84562842
2028	0.9230601	0.9386885	0.9135519	0.7421311	0.95590164	0.8682514	0.925847	0.79	0.9189071	0.69928962
2029	0.283388	0.8896721	0.7520765	0.7910383	0.91464481	0.9751913	0.8928962	0.6428962	0.9106011	0.85300546
2030	0.8170492	0.9979235	0.6612022	0.7	0.963005464	0.71978142	0.9740984	0.7535519	0.97661202	0.70010929
2031	0.3256284	0.94448087	0.7079781	0.612076503	0.87704918	1	0.7962295	0.4942623	0.99306011	0.777650273
2032	0.7072678	0.47344262	0.6995082	0.698579235	1	0.85502732	0.8977049	0.7074317	1	0.669453552
2033	0.7035519	0.38420765	0.7761749	0.81852459	1	0.69879781	0.894918	0.4671585	0.69874317	0.933442623
2034	1	0.59808743	0.7056284	0.650327869	0.692349727	0.9	0.9250273	0.7001093	0.39961749	0.7
2035	0.8046448	0.42961749	1	0.743715847	0.747650273	0.57081967	0.714918	1	0.0536612	0.356229508
2036	1	0.74737705	0.9047541	0.68715847	0.7	0.70846995	0.8177049	1	0.05	0.7
2037	0.7002186	0.67961749	0.7351366	0.87704918	0.699617486	0.69879781	1	1	0.66748634	0.884535519
2038	0.7	0.7	0.7456284	0.7	0.05	0.63677596	0.9581967	1	0.7	0.808469945
2039	0.7	0.29185792	0.7898907	0.759508197	0.7	0.7	0.6903825	0.7854098	0.7657377	0.93989071
2040	0.7	0.41590164	0.7103825	0.753442623	0.866174863	0.60278689	0.8086339	0.996776	0.69071038	0.376885246
2041	1	0.54032787	1	0.841038251	0.7	0.66945355	0.7	1	0.61114754	0.698579235
2042	0.7405464	0.72754098	1	0.7	1	0.7	1	1	0.85398907	0.69989071
2043	0.7201639	0.69825137	0.9346448	0.84295082	1	0.7052459	0.8005464	0.9554098	0.12508197	0.704863388
2044	0.7120765	0.16879781	1	1	0.720218579	0.19322404	0.6985792	0.1957923	1	1
2045	0.9956284	0.69907104	0.9991257	0.926557377	0.739617486	0.05	0.9966667	0.7069399	0.69857923	0.69852459
2046	1	0.94584699	0.6766667	0.766502732	0.7	0.82497268	1	0.9479235	0.7	0.699836066
2047	0.7	0.70060109	0.9803279	0.779672131	0.707322404	0.70415301	0.8877049	0.9805464	0.7	0.7
2048	0.6987978	0.70185792	0.7452459	0.698579235	0.705136612	1	0.972459	0.9277596	0.76387978	0.698688525
2049	0.6993443	0.6826776	0.7164481	0.813278689	0.818797814	1	1	0.6989617	0.69972678	0.935191257
2050	0.5697268	0.7	0.7	0.9	0.828196721	0.7	0.998306	0.9321858	0.44677596	0.488087432
2051	0.4118033	0.7	0.7061202	0.7	0.642786885	0.71010929	0.9997814	0.6789617	0.7	0.609289617
2052	0.6084699	0.42087432	0.6985792	0.700601093	1	0.7036612	1	0.6884153	0.71404372	0.726939891
2053	0.699071	0.38043716	0.3950273	0.85568306	0.713005464	0.69934426	0.9763934	0.6278142	1	0.591857923
2054	0.5844262	0.07502732	0.5813115	0.834590164	0.712295082	0.42437158	0.7	0.39	0.78530055	0.46442623
2055	0.4595082	0.7	0.1301093	0.7	0.825737705	0.2079235	0.5456831	0.5016393	0.55196721	0.134808743
2056	0.4747541	0.49103825	0.6879235	0.668852459	0.70726776	0.77010929	0.6997268	0.7086339	0.61907104	0.28579235
2057	0.9125683	0.69945355	0.8766667	0.654480874	0.401803279	0.80415301	0.7084699	0.6986339	0.7015847	0.539398907
2058	0.7	0.6931694	0.6998361	0.646885246	0.353934426	0.7	0.7459016	0.4670492	0.76092896	0.705355191
2059	0.8501093	0.7	0.6557377	0.089071038	0.700273224	0.6604918	0.832623	0.9753552	0.41939891	0.646393443
2060	0.6573224	0.14136612	0.6993443	0.536721312	0.350546448	0.05	1	0.6986339	0.34087432	0.578306011
2061	0.6991257	0.58349727	0.6988525	0.735136612	0.713333333	0.2963388	0.8053005	0.7687978	0.69923497	0.411693989
2062	0.3272131	0.7	0.7	0.708306011	0.743879781	0.05	0.7372131	0.7	0.95382514	0.7
2063	0.7119126	0.7	0.7	0.307213115	0.648415301	0.31464481	1	0.8719672	0.70142077	0.42704918
2064	0.6994536	0.69846995	0.8668306	0.562896175	0.709617486	0.05	0.6995628	0.9955191	0.70540984	0.05
2065	0.6996721	0.17153005	1	1	0.697814208	0.69825137	0.9657923	0.6981421	0.73704918	0.193224044
2066	0.820929	0.49530055	0.7	0.799945355	0.143169399	0.06978142	0.7	0.7085246	0.57628415	0.7
2067	0.7377049	0.7	0.7	0.999562842	0.100710383	0.53677596	0.274153	0.7189617	0.45442623	0.469945355
2068	0.9255191	0.70081967	0.9201093	0.778142077	0.514153005	0.07901639	0.4036066	0.8706011	0.93010929	0.502240437
2069	0.6992896	0.35901639	0.7087978	0.699180328	0.699836066	0.13071038	0.9889071	0.6510383	0.69852459	0.640054645
2070	0.7	0.17338798	0.7087978	0.704590164	0.698961749	0.82284153	0.7188525	0.3697814	0.7	0.699945355
2071	0.2572131	0.7	0.7230055	0.541857924	0.05	0.72939891	0.7009836	0.8796721	0.05	0.537868852
2072	0.1897814	0.69934426	0.6996721	0.956174863	0.699781421	0.69874317	0.6608197	0.9346995	0.72065574	0.699344262
2073	0.6986885	0.69852459	0.7426776	0.701256831	0.05	0.69918033	1	0.7	0.7	0.364699454
2074	0.7	0.7	0.2214208	0.7	0.67852459	0.20333333	0.6522404	0.7	0.7	0.670437158
2075	0.05	0.71803279	0.7004918	0.702404372	0.389180328	0.05	0.8114208	0.8279781	0.14273224	0.323278689
2076	0.4012568	0.80748634	0.718306	0.699672131	0.219125683	0.3947541	0.7053552	0.7081967	0.69923497	0.527486339
2077	0.2056831	0.62606557	0.6748634	0.459125683	0.724808743	0.35907104	0.9213115	0.5297814	0.30469945	0.69863388
2078	0.7	0.7	0.9662842	0.731038251	0.860874317	0.7	0.7	0.6280328	0.7	0.7
2079	0.6639344	0.7	0.7143716	0.486557377	0.741912568	0.7	0.680929	0.7032787	0.62978142	0.203278689
2080	0.6981421	0.70043716	0.6980328	0.05	0.699617486	0.69737705	0.7244809	0.6980874	0.05	0.699125683
2081	0.6987432	0.6984153	0.05	0.67442623	0.740491803	0.38677596	1	0.6728415	0.69923497	0.05
2082	0.7	0.7	0.1165027	0.612131148	0.464699454	0.25420765	0.9461749	0.7	0.71169399	0.416502732
2083	0.7	0.22071038	0.924918	0.361693989	0.7	0.6152459	0.6880328	0.7018579	0.7	0.05
2084	0.6997814	0.17901639	0.9806011	0.703497268	0.700928962	0.05	0.7479235	0.6995628	0.53759563	0.05
2085	0.7042077	0.05	0.7070492	0.700163934	0.704153005	0.69836066	0.8360109	0.8519126	0.09934426	0.532677596
2086	0.7001093	0.61775956	0.8263388	0.287814208	0.742568306	0.6995082	1	0.855847	0.05	0.374972678
2087	0.6126776	0.36885246	0.7	0.698415301	0.7	0.7	0.6665027	0.5575956	0.49781421	0.05
2088	0.6995628	0.05	0.7601639	0.403770492	0.964098361	0.75759563	0.7	0.2703279	0.35262295	0.05
2089	0.6990164	0.10355191	0.7097814	0.698852459	0.697978142	0.7	0.7	0.6997268	0.40081967	0.420218579
