YEAR	PERIOD	GCM	RCP	PREC	Tavg	CO2	Proration	Corn	SpringWheat	WinterWheat	Alfalfa	1101	Apple	1403	1409	Potatoes	GrapeJuice	Grape
1980	1980-2010	Hist	Historical	759.5930147	7.274766267	338.36	1	10.96754538	3.78823375	7.216789737	26.13108611	39.82216417	11.16476705	5.231707317	11.65035583	14.193929	5.216118571	3.580718148
1981	1980-2010	Hist	Historical	644.6052521	7.988903793	339.7275	0.731527	10.28476026	3.771186667	6.988766842	14.31892181	26.4795225	9.529636591	5.190951463	9.412291667	8.987154	5.044285714	3.641064815
1982	1980-2010	Hist	Historical	779.5467437	6.90040457	340.7925	1	10.96754538	3.78823375	7.216789737	26.13108611	39.82216417	11.16476705	5.231707317	11.65035583	14.193929	5.216118571	3.580718148
1983	1980-2010	Hist	Historical	831.8074055	7.520529815	342.1975	1	10.96754538	3.78823375	7.216789737	26.13108611	39.82216417	11.16476705	5.231707317	11.65035583	14.193929	5.216118571	3.580718148
1984	1980-2010	Hist	Historical	705.0044643	6.700677378	343.7825	1	10.96754538	3.78823375	7.216789737	26.13108611	39.82216417	11.16476705	5.231707317	11.65035583	14.193929	5.216118571	3.580718148
1985	1980-2010	Hist	Historical	491.5780462	6.130148872	345.2825	1	10.96754538	3.78823375	7.216789737	26.13108611	39.82216417	11.16476705	5.231707317	11.65035583	14.193929	5.216118571	3.580718148
1986	1980-2010	Hist	Historical	652.7674895	7.957222373	346.7975	1	10.96754538	3.78823375	7.216789737	26.13108611	39.82216417	11.16476705	5.231707317	11.65035583	14.193929	5.216118571	3.580718148
1987	1980-2010	Hist	Historical	566.4468487	8.578844883	348.645	0.791978497	10.65304641	3.775684583	7.14349	16.20730931	29.31107583	10.27524966	5.230772927	10.34926833	10.298512	5.016432	3.640217037
1988	1980-2010	Hist	Historical	624.4046218	8.286480461	350.7375	0.670225807	9.782027949	3.759642917	6.746337895	12.86890431	23.36601417	8.6437225	4.935861707	8.405080417	7.796893	5.012857143	3.634254444
1989	1980-2010	Hist	Historical	539.3507353	7.852413348	352.4875	1	10.96754538	3.78823375	7.216789737	26.13108611	39.82216417	11.16476705	5.231707317	11.65035583	14.193929	5.216118571	3.580718148
1990	1980-2010	Hist	Historical	845.591229	8.168362467	353.855	1	10.32012795	3.81231875	7.199632632	26.32082194	39.29298	11.24328614	5.231707317	11.75143958	13.708071	5.262595714	3.569559259
